Title,IMDB_ID,Subtitle,Status,Media Type,Remarks,Year,genre,runtime,director,plot,award,imdb_rating,release_date,directors
PRIVATE BENJAMIN,tt0081375,,DEN,FILM,"FILM ASSISTANCE DENIED. CONTAINED NEGATIVE ASPECTS FOR THE ARMY, E.G., UNREALISTIC, FALSE, AND EXAGGERATED INFORMATION AS WELL. ARMY FOCUSED ON FALSE RECRUITING PITCH AND PORTRAYAL OF BASIC TRAINING.",1980,"Comedy, War",109 min,Howard Zieff,"When her husband dies on their wedding night, Judy decides to join the United States Army. She realizes that she has never been independent in her entire life. What looks like a bad decision at first, turns out not so bad at all. That is, until her superior officer makes sexual advances on her. She has been transferred to NATO headquarters in Europe and (re)meets the Frenchman Henri Tremont. Judy and Henri decide to marry, but will they?",Nominated for 3 Oscars. Another 1 win & 3 nominations.,6.2,10 Oct 1980,nm0956052
PRIVATE CONTENTMENT,tt0084537,,APP,TV,"AT ARMY INSTALLATION FOR WW II SEQUENCE - ESSENTIALLY NOT A MILITARY-RELATED PRODUCTION FILM APPROVED ON THE BASIS THAT IT WOULDNT INTERFERE WITH MILITARY MISSIONS, NO COST TO THE GOV, AND ADEQUATE LIABILITY INSURANCE FOR ANY PROPERTY LOSS OR DAMAGE OR PERSONAL INJURY. MINIMAL ASSISTANCE, FILMING.",1982,"Comedy, Drama",90 min,Vivian Matalon,A young soldier goes home to attend his mother's funeral just before being shipped out to serve in World War II.,,7.9,27 Apr 1982,nm0558068
PROJECT X,tt0093793,,DEN,FILM,"NOT BENEFICIAL TO THE U.S. AIR FORCE. REQUEST FOR USE OF HURLBURT FIELD AND PATRICK AFB, FLORIDA ALONG WITH EQUIPMENT WAS DENIED.",1987,"Comedy, Drama, Sci-Fi, Thriller",108 min,Jonathan Kaplan,"A young inductee into the military is given the task of looking after some chimpanzees used in the mysterious ""Project X"". Getting to know the chimps fairly well, he begins to suspect there is more to the secret project than he is being told.",1 nomination.,6.1,17 Apr 1987,nm0438279
PSYCHE FILES,,,DEN,TV,"PILOT FOR NEW SERIES FEATURED USAF ENLISTED CHILD MURDERER, CONVICTED AND CURRENTLY IN JAIL. REENACTMENT WAS EXPLOITIVE, GRATUITOUS. FBI (PORTRAYED) NOT ASSISTING FOR SAME REASON. DECLINED USE OF OFFUTT AFB BUT PRODUCER MAY HAVE FOUND A TACKY WAY OF USING THE AIRCRAFT IN THE BACKGROUND WHILE THEY WERE BEING PARKED TEMPORARILY AT A CIVILIAN AIR FIELD -- PRODUCER DENIED ANY UNTOWARD BEHAVIOR IN PHONECON WITH USAF.",1998.0,,,,,,,,
PT-109,tt0057393,,APP,FILM,STORY OF JFK AND HIS PT-BOAT SINKING DURING WORLD WAR II. NO GREAT AMOUNT OF HELP SINCE NAVY NO LONGER HAD PT-BOATS AND STUDIO HAD TO BUILD THEM. SOME MEN AND EQUIPMENT PROVIDED FOR PRODUCTION.,1963,"Biography, Drama, War",140 min,Leslie H. Martinson,"Dramatization of President John F. Kennedy's wartime experiences during which he captained a PT boat, took it to battle and had it sunk by a Japanese destroyer. He and the survivors had to make their way to an island, find food and shelter and signal the Navy for rescue.",,6.6,19 Jun 1963,nm0554169
PULLER ADVENTURES OF THE LAST AMERICAN HERO,Never Made,,APP,TV,ASSISTANCE WAS PROVIDED BEING THAT THERE NO ADDITIONAL COST TO THE GOVERNMENT AND NO INTERFERENCE WITH READINESS OR TRAINING. PROJECT NEVER REACHED PRODUCTION DESPITE GREAT MARINE EXPECTATIONS.,2000.0,,,,,,,,
PUPPET MASTERS,tt0111003,,DEN,FILM,"MARK INDIG PROVIDED SCRIPT TO PHIL STRUB INFORMALLY, TO GET HIS OPINION. SINCE IT INVOLVES SLUG- LIKE ALIENS WHO TRY TO TAKE OVER THE HUMAN RACE (AND VANQUISH A FLTTILE ARMY ATTEMPT TO DESTROY THEM), STRUB SAID THAT MILITARY ASSISTANCE WAS NOT GOING TO BE FORTHCOMING. PROVIDED INFO TO INDIG OVER THE PHONE ON MAY 24.",1994,"Horror, Sci-Fi, Thriller",109 min,Stuart Orme,"Strange aliens land in the Midwest, taking over people's minds in order to spread their dominion. Sam Nivens and Andrew Nivens, aided by Mary Sefton, are part of a government agency who must stop the the aliens before the aliens get to them...",2 nominations.,5.9,21 Oct 1994,nm0650233
"PURPLE HEART, THE",tt0037197,,OTH,FILM,THIRD IN TRILOGY ABOUT THE DOOLITTLE RAID. TOTALLY FICTIONAL ACCOUNT OF TRIAL OF EIGHT OF DOOLITTLE'S FLIERS AND THEIR EXECUTION (OFF SCREEN). HELPED WAR EFFORT BY SHOWING EVIL ENEMY. NO ASSISTANCE NEEDED SINCE SHOT ON SOUND STAGE.,1944,"Drama, History, War",99 min,Lewis Milestone,"This is the story of the crew of a downed bomber, captured after a run over Tokyo, early in the war. Relates the hardships the men endure while in captivity, and their final humiliation: being tried and convicted as war criminals.",,6.6,23 Feb 1944,nm0587277
PURPLE HEARTS,tt0087956,,LIM,FILM,"DOD DECLINED REQUEST FOR FILMING ON A NAVY HOSPITAL SHIP. APPEARS THAT TIME PRECLUDED OPPORTUNITY FOR MAKING SCRIPT CHANGES. HOWEVER, THE MARINES DECIDED TO SEND MAJ PAT COULTER AND HIS NEW RELIEF, MAJ FRED PACK, TO THE PHILIPPINES AT PRODUCTION COMPANY EXPENSE, TO SERVE AS TECHNICAL ADVISORS, DESPITE A DOD RULING NOT TO PROVIDE TECHNICAL ADVISORS. ONE OF THE VERY FEW POSITIVE VIETNAM MOVIES EVER MADE TO DATE, THOUGH NO EXPLANATION WHY A NAVY DOCTOR WOULD ACCOMPANY MARINES INTO COMBAT.",1984,"Drama, War",116 min,Sidney J. Furie,"In middle of the Vietnam War, a Navy surgeon and a nurse fall in love. Their affection for one another provides a striking contrast to the violence of warfare.",,5.8,31 Aug 1984,nm0002089
QUANTUM LEAP,tt0098151,TV PILOT,APP,TV,"THE EPISODE WAS APPROVED BY THE US. AIR FORCE, AS WELL AS THE DEPARTMENT OF DEFENSE. STOCK FOOTAGE WAS PROVIDED.",1989,"Action, Adventure, Drama, Mystery, Sci-Fi",44 min,David Hemmings,"Although the Project Quantum Leap isn't ready yet, Sam Beckett doesn't listen to supercomputer Ziggy, hops into the Accelerator and leaps. As Tom Stratton, an Air Force test pilot about to ...",,8.0,26 Mar 1989,nm0376101
RACE AGAINST WINTER,tt0091888,STORY OF MITCH SNYDER,APP,TV,GRANTED PERMISSION TO REENACT BURIAL AT ARLINGTON CEMETARY. FILM FOUND TO BE FACTUAL AFTER BEING RESEARCHED BY MDW.,1986,Drama,96 min,Richard T. Heffron,"Fact-based story about Mitch Snyder (Martin Sheen), a Washington crusader for the homeless, who took their case to Congress. Working for the Community for Creative Non-violence, Snyder became outraged at the number of homeless people who had been dumped on the Washington streets without shelter from mental institutions and other care facilities. His advocacy drew national attention to the ""missing persons"" that live among us. Cicely Tyson also appears as a bag-lady who teaches Snyder and his cohorts how to survive on the streets.",1 win.,6.8,19 May 1986,nm0373612
RACE TO SPACE,tt0167360,,APP,FILM,"APPROVED FILMING IN AND AROUND HANGARS AND OTHER SITES AT EDWARDS AIR FORCE BASE, CA, FOR APPROXIMATELY 2 WEEKS AND AT A LAUNCHPAD, MUSEUM, AND OTHER SITES AT CAPE CANAVERAL AIR STATION, FL, FOR APPROXIMATELY 1 WEEK. VERY POSITIVE DEPICTION OF AIR FORCE IN THIS FICTIONALIZED DRAMATIZATION OF THE NASA/AIR FORCE PROJECT THAT SENT A MONKEY INTO SPACE, PAVING THE WAY FOR U.S. MANNED SPACE FLIGHT.",2001,"Drama, Family",104 min,Sean McNamara,In the 1960s a young woman works at NASA as an animal trainer responsible for the chimpanzee who will go into space.,2 wins & 2 nominations.,5.5,15 Mar 2002,nm0573732
RAIN,tt0265611,,APP,TV,"APPROVED FILMING AT U.S. NAVAL STATION, ROOSEVELT ROADS, PUERTO RICO, (EXTERIOR TERRAIN), FOR THIS FICTIONAL AND POSITIVE FEATURE-LENGTH DRAMA ABOUT DOGS USED BY THE ARMY DURING THE VIETNAM WAR. INCLUDED LIMITED USE OF FLYING AND NONFLYING NATIONAL GUARD HELICOPTERS TO ENACT A MEDEVAC SCENE.",2001,"Action, Drama, Family, War",96 min,Robert J. Wilson,A German Shepard named Rain is trained to fight in the Vietnam War and his intelligence and courage in the face of adversity wins the respect and loyalty of his platoon.,1 nomination.,5.3,25 May 2001,nm0934046
RAISE THE TITANIC,tt0081400,,APP,FILM,"AFTER SEVERAL CHANGES AND REVISIONS, THE DEPARTMENT OF THE NAVY SUPPORTED THE FILM. THE DEPARTMENT FELT THE FILM WAS TO BE ADVANTAGEOUS TO NAVY AND DEPARTMENT RECRUITMENT AND RETENTION. ADMIRAL COONEY HAD GRAVE CONCERNS ABOUT PORTRAYAL OF CONFRONTATION WITH THE SOVIET UNION AND WITH ENDING WHICH SUGGESTED THE GOVERNMENT LIED AND WAS IWO-FACED. ADMIRAL THOUGHT FILMMAKERS WOULD USE HIS ENDING AND WAS VERY ANGRY WHEN THEY DID NOT. STILL FILM SHOWS MILITARY POSITIVELY.",1980,"Action, Drama, Thriller, Adventure",115 min,Jerry Jameson,A group of Americans are interested in raising the ill-fated Ocean liner Titanic. One of the team members finds out the Russians also have plans to raise the ship from its watery grave. Why all the interest ? A rare mineral on board could be used to power a sound beam that will knock any missile out of the air when entering us airspace.,3 nominations.,5.0,01 Aug 1980,nm0417054
RANDOM HEARTS,tt0156934,,APP,FILM,"APPROVED USE OF NAVY SEARCH AND RESCUE PEOPLE AND EQUIPMENT TO ENACT FICTIONAL SAR EFFORTS AT CRASH SITE OF COMMERCIAL AIRCRAFT. MOVIE IS ESSENTIALLY A NON-MILITARY MELODRAMA / MYSTERY, BUT WITH 9-10 MINS OF NAVY COMMERCIAL.",1999,"Drama, Mystery, Romance",133 min,Sydney Pollack,After the death of their loved ones in a tragic plane crash Harrison Ford and Kristin Scott Thomas find each others' keys in each others loved ones' possessions and realize that they were having an affair and must figure out all the details.,,5.3,08 Oct 1999,nm0001628
"REAGAN YEARS, THE",tt6349394,,APP,TV,APPROVED PROVIDING THE PRODUCTION FORWARDS A LETTER OF INDEMNIFICATION HOLDING THE US. GOVERNMENT AND DOD HARMLESS FROM ANY THIRD-PARTY CLAIMS OF INFRINGEMENT OF COPYRIGHTS OR PERSONAL RIGHTS ARISING FROM THE USE OF OTHER DOD FILMS,1992.0,,,Phil Dusenberry,,,,,nm0244620
RECOVERY,Never Made,,DEN,FILM,"DENIED BECAUSE OF VIOLENCE, STRONG LANGUAGE, AND DOD DID NOT WANT TO COOPERATE ON ANY STORY DEALING WITH THE USMLM AS THE PRIMARY PLOT. REQUEST FOR INSTALLATIONS DENIED. NO RECORD OF FILM BEING MADE.",,,,,,,,,
RED BALL EXPRESS,tt0045072,,APP,FILM,STORY OF LOGISTICS SUPPORT OF ARMY FOLLOWING IIREAKOUT FROM NORMANDY BEACHHEAD. ARMY PROVIDED MEN AND EQUIPMENT,1952,"Action, Drama, War",83 min,Budd Boetticher,"August 1944: proceeding with the invasion of France, Patton's Third Army has advanced so far toward Paris that it cannot be supplied. To keep up the momentum, Allied HQ establishes an elite military truck route. One (racially integrated) platoon of this Red Ball Express encounters private enmities, bypassed enemy pockets, minefields, and increasingly perilous missions, leavened by a touch of comedy.",,6.3,29 Aug 1952,nm0091430
RENAISSANCE MAN,tt0110971,,APP,FILM,"REQUESTED EXTENSIVE USE OF MILITARY INSTALLATION, ASSETS, EXTRAS FOR THIS PENNY MARSHALL-DIRECTED FEATURE STARRING DANNY DEVITO. AFTER SUCCESSFUL SCRIPT NEGOTIATIONS, ACHIEVED OUTSTANDING REWRITE AND APPROVED FULL MILITARY ASSISTANCE.",1994,"Comedy, Drama",128 min,Penny Marshall,A down-on-his-luck businessman desperately takes the only job offered - a teacher in the U.S. Army. His mission: keep a ragtag bunch of underachieving misfits from flunking out of basic training! Be on alert as this unlikely new teacher and his underdog class unexpectedly inspire each other to be all they can be!,,6.2,03 Jun 1994,nm0001508
RESTING PLACE,tt0091844,,APP,TV,"APPROVED USE OF FORT MCPHERSON, GA. IN BEST INTEREST OF THE ARMY.",1986,Drama,100 min,John Korty,"The mysterious death of an army officer comes under investigation by Major Kendall Laird as the young soldier's parents seek an honorable burial place, out of respect for their son. The parents are assisted by their neighbor, Mrs. McAlister, in their patriotic and racially divided community.",,6.3,27 Apr 1986,nm0466793
RETREADS,tt0389321,,DEN,FILM,DISAPPROVED BY BOTH THE AIR FORCE AND THE DEPARTMENT OF DEFENSE. THE REQUEST FOR VEHICLES WAS OF COURSE DENIED.,1988,"Action, Adventure",104 min,James Connell,"Two beer-swilling, Harley-loving guys get involved with an attractive scientist and a gang of terrorists.",,2.4,,nm1502084
RETURN OF THE SIX-MILLION-DOLLAR-MAN AND THE BIONIC WOMAN,tt0093853,,APP,TV,APPROVED BY THE AIR FORCE AS WELL AS THE DEPARTMENT OF DEFENSE AFTER CHANGES WERE MADE. REQUEST FOR STOCK FOOTAGE AND EQUIPMENT WAS PROVIDED.,1987,"Action, Sci-Fi",98 min,Ray Austin,"Ten years after his retirement from the government, Colonel Steve Austin must again team up with Jaime Sommers to stop a terrorist group. Complicating matters for Austin are his estranged son Michael, who struggles for his father's acceptance as he graduates from flight school, and Jaime, who must cope with her and Steve's past. When Michael is severely injured in a crash, Steve must make the same decision about fitting him with bionics that he had to make with Jaime years ago after her accident.",,6.8,17 May 1987,nm0042500
RETURN TO IWO JIMA,tt9020344,,APP,FILM,IN THE BEST INTEREST OF THE SERVICES. THE DOCUMENTARY WAS FACTUAL AND VERY POSITIVE FOR THE ARMED FORCES. REQUESTS WERE APPROVED.,1985,"Documentary, History, War",58 min,,"On the fortieth anniversary of the battle of Iwo Jima, over three hundred Japanese and American veterans returned to the island together in peace.",,,27 May 1985,
RETURN TO NAM: PART 1,tt0644172,,DEN,TV,THE BASIC THEME OF PRIVATE CITIZENS TAKING OWN INITIATIVE & ACTION TO SEARCH & FREE POW/MIAS IS COUNTERPRODUCTIVE TO OFFICIAL EFFORTS TO RESOLVE THE ISSUES.,1984,"Crime, Drama, Mystery",90 min,James L. Conway,Houston and Roy get information that Roy's son who is an MIA in Vietnam is alive. They go to the government who tell them that they can't do anything. So Houston decides to go and find him ...,,7.2,02 Nov 1984,nm0176702
REUNION,,A MAN CALLED JOE,APP,TV,"THE ARMY AND DOD APPROVED AND ASSISTED THE PRODUCTION. THE FILM CONTAINED POSITIVE PORTRAYALS OF THE ARMY. THE SMALL AMOUNT OF EQUIPMENT AND SEVERAL OFF-DUTY PERSONNEL SERVED AS EXTRAS, ALL WAS OBTAINED FROM FT. BELVOIR",,,,,,,,,
RIDE WITH THE DEVIL,tt0134154,,LIM,FILM,"CIVIL WAR ERA PICTURE DEPICTED MILITIA TYPE WARFARE IN FAIRLY STRAIGHTFORWARD MANNER, TO BE CONSIDERED INFORMING ABOUT A LITTLE-KNOWN ASPECT OF US. MILITARY HISTORY. APPROVED USE OF FIELD SETTING AT FORT LEAVENWORTH FOR SEVERAL DAYS.",1999,"Drama, Romance, War, Western",138 min,Ang Lee,"Jake Roedel and Jack Bull Chiles are friends in Missouri when the Civil War starts. Women and Blacks have few rights. Jack Bull's dad is killed by Union soldiers, so the young men join the Bushwhackers, irregulars loyal to the South. One is a Black man, Daniel Holt, beholden to the man who bought his freedom. They skirmish then spend long hours hiding. Sue Lee, a young widow, brings them food. She and Jack Bull become lovers, and when he's grievously wounded, Jake escorts her south to a safe farm. The Bushwhackers, led by men set on revenge, make a raid into Kansas. At nineteen, Jake is ill at ease with war. As his friends die one after another, he must decide where honor lies.",1 win.,6.7,05 Nov 1999,nm0000487
ROBERT KENNEDY AND HIS TIMES (PART 1 AND 2),tt0088594,,APP,TV,"INITIALLY, FILMMAKERS DID NOT APPROACH MILITARY BELIEVING THEY COULD NOT OBTAIN ASSISTANCE. AFTER SEEING SCRIPT, MARINES INDICATED THEY WOULD ASSIST IF CERTAIN SCENES REVISED. AS A RESULT, COMPANY DID RECEIVE ASSISTANCE, PARTICULARLY WITH FILMING OF TAKE OFF FROM HELICOPTER ASSAULT CARRIER",1985,Drama,309 min,Marvin J. Chomsky,"A personal portrait of one of the most controversial men of this century and the turbulent times in which he lived. An entire era, including the fight for civil rights, the Cuban Missile Crisis, the American entry into Vietnam, and the eventual protest against it, was shaped by Bobby Kennedy.",,7.6,27 Jan 1985,nm0159007
ROBOCOP,tt0093870,,DEN,FILM,DOD FOUND NOTHING IN THE FILM BENEFICIAL TO THE DEPARTMENT. THEY FOUND THE FILM TO BE VIOLENT AND BLOODY. THE REQUEST FOR STOCK FOOTAGE WAS DENIED.,1987,"Action, Crime, Sci-Fi, Thriller",102 min,Paul Verhoeven,"Detroit - in the future - is crime-ridden and run by a massive company. The company has developed a huge crime-fighting robot, which unfortunately develops a rather dangerous glitch. The company sees a way to get back in favor with the public when policeman Alex Murphy is killed by a street gang. Murphy's body is reconstructed within a steel shell and called RoboCop. RoboCop is very successful against criminals and becomes a target of supervillian Boddicker.",Nominated for 2 Oscars. Another 11 wins & 10 nominations.,7.6,17 Jul 1987,nm0000682
ROBOJOX,tt0102800,,APP,FILM,THE FILM WAS APPROVED AND STOCK FOOTAGE WAS FURNISHED -~ COMPANY CLAIMED THAT FOOTAGE IS NOT AVAILABLE THROUGH COMMERCIAL SOURCES.,1989,"Action, Sci-Fi, Thriller",85 min,Stuart Gordon,"It is post-World War III. War is outlawed. In its place, are matches between large Robots called Robot Jox. These matches take place between two large superpowers over disputed territories. The main character Achilles is a pilot in one of the large Robots. The plot revolves around him and a match for the state of Alaska.",1 nomination.,5.4,21 Nov 1990,nm0002340
ROCKETS RED GLARE,tt0261959,,APP,FILM,"APPROVED FILMING AT VARIOUS SITES AT VANDENBERG AIR FORCE BASE, CA, FOR APPROXIMATELY ONE WEEK. INCLUDED AIR FORCE VEHICLES AND EXTRAS. ALTHOUGH MAIN CHARACTER IS A HIGH SCHOOL STUDENT, THERE IS AMPLE VERY POSITIVE AIR FORCE PRESENCE (FAMILY MEMBERS, ETC), AND VERY POSITIVE DEPICTION OF AIR FORCE INVOLVEMENT IN THE U.S. SPACE PROGRAM.",2000,"Family, Thriller",105 min,Joseph Manduke,The story of a Vietnam vet forced into the dark world of the Mob in order to support his handicapped brother.,2 wins.,7.2,05 Apr 2002,nm0541900
"ROCKPORT CHRISTMAS, A",tt0095347,,APP,TV,"THE DEPARTMENT OF THE AIR FORCE LOVED THE SCRIPT AND FOUND IT TO BE GOOD READING, IN TURN PROVIDING STOCK FOOTAGE FOR THE FILM.",1988,Drama,96 min,Marvin J. Chomsky,"The Bundy family try to have a good family Christmas, despite World War 2.",Won 1 Primetime Emmy. Another 1 nomination.,6.7,12 Dec 1988,nm0159007
ROLLING THUNDER,tt0076637,,DEN,FILM,AIR FORCE REFUSED TO PROVIDE ASSISTANCE. CLAIMED NO POW HAD RETURNED FROM VIETNAM SCHIZOPHRENIC WHICH IS DESCRIPTION THEY PUT ON WILLIAM DEVANE. ALSO SHOWED UNFAITHFUL WIFE.,1977,"Crime, Drama, Thriller",95 min,John Flynn,Major Charles Rane comes back from the war and is given a number of gifts from his hometown because he is a war hero. Some greedy thugs decide that they want to steal a number of silver dollars from him. In the process they also manage to kill his wife and son and destroy his hand. The Major wants revenge so he enlists the help of his war buddy Johnny to meet the thugs in a final showdown.,,7.0,06 Feb 1978,nm0283500
RULES OF ENGAGEMENT ,tt0160797,,APP,FILM,DATE APPROXIMATED WHEN THIS PROJECT WAS RECEIVED AND SCRIPT REVIEW UNDERTAKEN,2000,"Drama, Thriller, War",128 min,William Friedkin,"Hayes Hodges finds his career aspirations dashed when he's wounded in Vietnam combat. He then returns to America and becomes a disillusioned lawyer who goes up against the service to defend Colonel Terry Childers, who is accused of inciting an incident that leaves many demonstrators dead. Hodges in no position to decline: Childers heroically saved his life back in Vietnam.",1 win & 2 nominations.,6.4,07 Apr 2000,nm0001243
"RUN DEEP, RUN SILENT",tt0052151,,APP,FILM,"NAVY PROVIDED FULL ASSISTANCE TO FILM WHICH MANY CONSIDER A CLASSIC SUBMARINE STORY. HELP INCLUDED SUBMARINE FOR EXTERIOR SHOTS AND PIECES OF EQUIPMENT TO CREATE INTERIORS. HOWEVER FILM IS FILLED WITH PROBLEMS INCLUDING SPRINGBOARD IN WHICH HERO'S SUBMARINE IS DESTROYED IN SOUTH CHINA SEA, FLOATS ON SURFACE, AND ENDS UP BACK IN HAWAII WITH NO EXPLANATION. ALSO CONFLICT BETWEEN CAPTAIN AND EXEC OFFICER. ALSO, MODEL OF SUBMARINE UNDERWATER HAS BUBBLES COMING FROM SCREW",1958,"Action, Drama, War",93 min,Robert Wise,The captain of a submarine sunk by the Japanese during WWII is finally given a chance to skipper another sub after a year of working a desk job. His singleminded determination for revenge against the destroyer that sunk his previous vessel puts his new crew in unneccessary danger.,1 nomination.,7.3,27 Mar 1958,nm0936404
RUSSKIES,tt0093898,,APP,FILM,"PERMISSION FOR FLORIDA NATIONAL GUARD EQUIPMENT, INSTALLATION, AND  PERSONNEL GRANTED. ALTHOUGH IT HAD NOTHING TO DO WITH THE GUARD, DOD FELT IT WOULD BE GOOD COMMUNITY RELATIONS FOR THE GUARD.",1987,Drama,99 min,Rick Rosenthal,"It is during the Cold War and all Americans have a view of Russians as one thing: bad people. A group of American boys discovers a Russian sailor washed up on the coast of Florida and decide to befriend him, assuming that he is friendly and will bring them no danger and thus go against the ideas of their parents, as well as the government.",,5.6,06 Nov 1987,nm0742819
SAHARA,tt0036323,,APP,FILM,"CLASSIC EARLY WORLD WAR II WAR STORY EVEN THOUGH TOTAL FICTION. AMERICAN TANKS DID NOT FIGHT WITH BRITISH FORCES IN NORTH AFRICA IN EARLY DAYS OF WAR. HOWEVER, ARMY PROVIDED FULL COOPERATION AT DESERT TANK TRAINING FACILITY ON CALIFORNIA, NEVADA BORDER, INCLUDING USE OF AN OBSOLETE TRAINING TANK. AGAINST ARMY REGULATIONS, AN AMERICAN FIGHTER PLAYED A GERMAN FIGHTER AND 500 AMERICAN SOLDIERS DRESSED UP AS GERMANS IN CLIMACTIC BATTLE. BUT LONE AMERICAN, HUMPHREY BOGARD, CAPTURED ALL THE ENEMY ALMOST SINGLEHANDEDLY WHICH WAS VERY POSITIVE PROPAGANDA FOR WAR EFFORT.",1943,"Action, Drama, War",97 min,Zoltan Korda,"Sergeant Joe Gunn and his tank crew pick up five British soldiers, a Frenchman and a Sudanese man with an Italian prisoner crossing the Libyan Desert to rejoin their command after the fall of Tobruk. They and the Germans are greatly in need of water.",,7.5,11 Nov 1943,nm0466113
SAIGON,tt0095774,Off Limits,DEN,FILM,"THE FILM WAS DENIED BY THE ARMY. THEY FELT ITS DEPICTION OF CID OPERATIONS, ORGANIZATION, PERSONNEL AND THEIR ACTIVITIES WAS INACCURATE AND SENSATIONALIZED.",1988,"Action, Drama, Thriller, War",102 min,Christopher Crowe,"McGriff and Albaby are probably doing the worst law enforcement job in the world - they are plain clothes U.S. military policemen on duty in war-time Saigon. However, their job becomes even harder when they start investigating the serial killings of local prostitutes. Their prime suspect is high ranking U.S. Army officer which brings their lives in danger.",1 nomination.,6.3,11 Mar 1988,nm0189610
SALUTE TO THE ARMED FORCES,,,APP,TV,"THIS WAS A 60-SECOND PSA PRODUCED BY BOEING (WITH A BOEING LOGO AT THE END}. BOEING AGREED TO LET DOD ALTER THE PSA FOR ARMED FORCES DAY (DROPPING THE BOEING LOGO, ETC}. WORKED WELL. PROVIDED ACCESS TO PERSONNEL, INSTALLATIONS, AT NO EXTRA COST TO THE GOVERNMENT AND NO INTERFERENCE WITH OPERATIONS. WOUND UP WITH A VERY HIGH QUALITY PSA DISTRIBUTED ON ARMED FORCED DAY.",,,,,,,,,
SAN FRANCISCO,tt0028216,,APP,FILM,"INTERESTING STORY OF COOPERATION. DIRECTOR W.S VAN DYKE WAS A MARINE RESERVE OFFICER. NEEDED EXTRAS WHO COULD OBEY SPLIT SECOND ORDERS DURING CLIMACTIC EARTHQUAKE AND OBTAINED PERMISSION TO USE ACTIVE DUTY MARINES IN SCENES OF DESTRUCTION, ETC",1936,"Drama, Musical, Romance",115 min,W.S. Van Dyke,"Mary Blake arrives at Blackie Norton's Paradise gambling hall and beer garden looking for work as a singer. Blackie embarrasses her by asking to see her legs, but does hire her. She faints from hunger. Nob Hill Socialite Jack Burley and Maestro Baldini of the Tivoli Opera House see her singing and offer her a chance to do opera, but Blackie has her under a two-year contract which she sorrowfully stands by. Later, when he makes up posters featuring Mary in tights, she does leave for the Tivoli. Blackie gets an injunction against Burley, but knocks out the process server when he hears Mary's performance as Marguerite in ""Faust"". She asks her to marry him and she agrees to go back to the Paradise as his kind of singer, but Blackie's childhood chum Father Tim intervenes. After Blackie slugs the priest, Mary leaves. She is soon the star of the Tivoli and Blackie's place is closed down. She sings a rousing ""San Francisco"" on behalf of the Paradise at the annual ""Chicken Ball"" and wins the $10,000 prize which Blackie throws to the floor. As she storms out of the hall a terrible rumble betokens the famous San Francisco earthquake. Buildings collapse, streets split wide open, the city burns, the army dynamites whole sections of town. After staggering around in a stupor Blackie finds Father Tim and the two of them find Mary at a Salvation Army camp. Backed by hundreds of others, they look out over the ruins which are gradually replaced by the shining new city with a reprise of the title song.",Won 1 Oscar. Another 2 wins & 6 nominations.,7.2,26 Jun 1936,nm0886754
SANDS OF IWO JIMA,tt0041841,,APP,FILM,CLASSIC MARINE FILM WHICH CREATED JOHN WAYNES IMAGE OF THE AMERICAN FIGHTING MAN. MARINES PROVIDED FULL COOPERATION AT CAMP PENDLETON TO RESTAGE ASSAULTS ON TARAWA AND IWO JIMA. ONLY PROBLEM RELATED TO SCENE IN WHICH JOHN WAYNE HITS ONE OF HIS MEN WITH RIFLE BUTT DURING TRANING. TECHNICAL ADVISOR OBJECTED TO SCENE AND BUCKED IT UP TO COMMANDANT'S OFFICE WHICH CONFIRMED ORIGINAL APPROVAL. BUT SCENE TONED DOWN AND HUMORED UP. WAYNE DIES AFTER TEACHING THE NEXT GENERATION. FILM CREDITED BY MARINES WITH AIDING RECRUITMENT,1949,"Action, Drama, Romance, War",100 min,Allan Dwan,"After his wife takes their son and leaves him, Sgt. John Stryker is an embittered man who takes his misery out on the men under his command. They're a bunch of green recruits who have a hard time dealing with Stryker's tough drills and thicker skin. Even his old friends start to wonder if he's gone from being the epitome of a tough Marine Sergeant to a man over the edge.",Nominated for 4 Oscars. Another 1 win.,7.1,01 Mar 1950,nm0245385
"SATELLITE KILLER, THE",Never Made,,APP,FILM,NO OBJECTIONS WERE INTERPOSED TO THE AIR FORCE. AS LONG AS THERE WERE NO ADDITIONAL. COSTS TO THE GOVERNMENT AND NO INTERFERENCE WITH TRAINING OR THE MISSION. NO RECORD OF FILM BEING MADE.,,,,,,,,,
